Id_leki,Id_producenci,Nazwa,Cena
1,21,Acatar Zatoki,64
2,150,Aminodral,69
3,624,Berodual,91
4,394,Altacet,38
5,219,Roswera,24
6,66,Berodual,122
7,44,Roswera,62
8,587,Ecomer,114
9,957,Acatar Zatoki,71
10,961,Aminodral,119
11,673,Acidolac,20
12,272,Roswera,88
13,502,Prostaforce,57
14,273,Epiduo,65
15,720,Otrivin,33
16,846,Espumisan,28
17,69,Tritace,78
18,533,Polopiryna,89
19,88,Acatar Zatoki,70
20,655,Mucofluid,128
21,880,Algomed,109
22,278,Tarproxen,69
23,457,Acatar Zatoki,136
24,705,Berodual,112
25,620,Diprophos,54
26,851,Espumisan,63
27,904,Prostaforce,134
28,123,Avamys,30
29,368,Berodual,75
30,743,Prostaforce,119
31,544,Apap Extra,130
32,813,Prostaforce,148
33,191,Acatar Zatoki,140
34,308,Tarproxen,141
35,32,Prostaforce,136
36,353,Otrivin,72
37,825,Polopiryna,56
38,237,Diprophos,67
39,34,Espumisan,83
40,607,Roswera,128
41,885,Roswera,89
42,230,Acidolac,91
43,880,Altacet,101
44,855,Mucofluid,84
45,478,Algomed,110
46,143,Tritace,60
47,911,Acatar Zatoki,103
48,799,Ecomer,100
49,772,Aminodral,60
50,313,Roswera,119
51,1000,Espumisan,31
52,169,Altacet,82
53,388,Altacet,146
54,324,Acidolac,26
55,951,Acatar Zatoki,64
56,332,DicloDuo,51
57,80,Diprophos,48
58,24,Apap Extra,82
59,341,Mucofluid,57
60,711,Polopiryna,96
61,692,Prostaforce,76
62,648,Roswera,85
63,746,Diprophos,48
64,111,Nolicin,59
65,235,Ecomer,105
66,10,Ecomer,24
67,312,Buderhin,72
68,433,Buderhin,95
69,552,Mucofluid,23
70,914,Buprenorfina,54
71,766,Tritace,57
72,975,Buderhin,35
73,714,Roswera,39
74,273,Buderhin,84
75,450,Algomed,150
76,247,Buprenorfina,76
77,287,Berodual,55
78,733,Diprophos,127
79,610,Polopiryna,82
80,29,Ecomer,147
81,806,Polopiryna,131
82,730,Diprophos,129
83,969,Avamys,109
84,719,Apap Extra,24
85,431,DicloDuo,65
86,675,Ecomer,68
87,230,Tarproxen,105
88,366,DicloDuo,39
89,551,Berodual,32
90,716,Buprenorfina,116
91,54,Acatar Zatoki,75
92,393,Tritace,42
93,862,Algomed,117
94,247,Diprophos,80
95,169,Tarproxen,85
96,798,Aminodral,55
97,354,Aminodral,43
98,78,Tritace,30
99,470,Nolicin,108
100,92,Buprenorfina,149
101,957,Roswera,131
102,795,Epiduo,39
103,482,Buderhin,29
104,358,Nolicin,21
105,763,Acidolac,126
106,871,Tarproxen,22
107,861,Aminodral,135
108,628,Epiduo,135
109,91,Berodual,145
110,774,DicloDuo,64
111,146,Diprophos,39
112,170,DicloDuo,28
113,910,Acatar Zatoki,58
114,648,Altacet,127
115,863,Buprenorfina,35
116,705,Espumisan,74
117,474,Aminodral,92
118,331,Aminodral,114
119,694,DicloDuo,148
120,644,Prostaforce,134
121,83,Buderhin,59
122,307,Apap Extra,65
123,488,Aprofen,57
124,160,Roswera,64
125,346,Berodual,141
126,718,Aprofen,147
127,136,Buderhin,91
128,932,Altacet,46
129,310,Nolicin,37
130,178,Acidolac,83
131,779,Berodual,68
132,819,Polopiryna,30
133,707,Acatar Zatoki,131
134,741,Espumisan,41
135,255,Algomed,73
136,201,Polopiryna,74
137,80,Acidolac,98
138,665,Prostaforce,87
139,263,Buderhin,54
140,82,Berodual,50
141,926,Apap Extra,67
142,983,DicloDuo,121
143,724,Tarproxen,96
144,590,Roswera,101
145,816,Buprenorfina,31
146,41,Acatar Zatoki,117
147,668,Apap Extra,116
148,144,Ecomer,147
149,733,Roswera,103
150,575,DicloDuo,42
151,502,Berodual,146
152,434,Aminodral,38
153,844,Acatar Zatoki,64
154,487,Polopiryna,36
155,918,Algomed,147
156,251,Avamys,104
157,165,Aminodral,136
158,953,Nolicin,62
159,613,Mucofluid,25
160,716,Mucofluid,121
161,617,Acatar Zatoki,113
162,583,Acatar Zatoki,89
163,885,Prostaforce,103
164,428,Otrivin,64
165,644,Apap Extra,52
166,993,Espumisan,118
167,837,Nolicin,132
168,755,Aprofen,135
169,837,Otrivin,22
170,617,Aprofen,96
171,473,Aminodral,101
172,633,Altacet,114
173,799,Acatar Zatoki,74
174,978,Berodual,39
175,762,Aprofen,103
176,257,Polopiryna,24
177,543,Polopiryna,142
178,688,Ecomer,134
179,806,Mucofluid,119
180,816,Otrivin,107
181,403,Epiduo,39
182,675,Polopiryna,119
183,553,Espumisan,133
184,902,Aprofen,36
185,810,Otrivin,44
186,994,Aminodral,146
187,931,Buprenorfina,142
188,501,Diprophos,137
189,551,Mucofluid,135
190,24,Acidolac,41
191,174,Mucofluid,87
192,128,Tarproxen,91
193,595,DicloDuo,93
194,103,DicloDuo,144
195,855,Epiduo,49
196,508,Espumisan,85
197,34,Acatar Zatoki,30
198,670,Acatar Zatoki,86
199,971,Tarproxen,114
200,637,Berodual,112
201,178,Epiduo,131
202,997,Espumisan,43
203,671,Tritace,48
204,670,Apap Extra,74
205,142,Berodual,73
206,403,Buderhin,54
207,732,Mucofluid,149
208,564,Espumisan,58
209,249,Otrivin,78
210,646,Otrivin,119
211,146,Roswera,117
212,375,Algomed,84
213,667,Aprofen,66
214,147,Acidolac,37
215,112,Aminodral,139
216,779,Nolicin,86
217,137,Otrivin,50
218,307,Tritace,115
219,350,DicloDuo,54
220,888,Berodual,68
221,982,Otrivin,26
222,594,Prostaforce,54
223,889,Acatar Zatoki,54
224,710,Acidolac,83
225,521,Tarproxen,150
226,612,Avamys,69
227,344,Algomed,103
228,801,Acidolac,114
229,563,Avamys,44
230,353,Epiduo,137
231,320,DicloDuo,73
232,938,Altacet,61
