"ID_BADANIA","NAZWA"
515,"Badanie ucha"
516,"Badania czynnosciowe"
517,"Badanie krwi"
518,"Badanie krwi"
519,"Badanie wzroku"
520,"Badania obrazowe"
521,"Badania endoskopowe"
522,"Badanie ucha"
523,"Badanie wzroku"
524,"Badanie ucha"
525,"Badania endoskopowe"
526,"Badanie wzroku"
527,"Badanie skory"
528,"Badanie krwi"
529,"Badanie ucha"
530,"Badanie wzroku"
531,"Badania obrazowe"
532,"Badanie moczu"
533,"Badania czynnosciowe"
534,"Badania obrazowe"
535,"Badanie ucha"
536,"Badanie moczu"
537,"Badanie moczu"
538,"Badanie wzroku"
539,"Badanie ucha"
540,"Badanie krwi"
541,"Badanie krwi"
542,"Badanie moczu"
543,"Badania obrazowe"
544,"Badania obrazowe"
545,"Badanie skory"
546,"Badania endoskopowe"
547,"Badania obrazowe"
548,"Badanie skory"
549,"Badania endoskopowe"
550,"Badanie wzroku"
551,"Badania obrazowe"
552,"Badanie ucha"
553,"Badanie ucha"
554,"Badanie wzroku"
555,"Badania czynnosciowe"
556,"Badania endoskopowe"
557,"Badanie ucha"
558,"Badanie ucha"
559,"Badanie krwi"
560,"Badania endoskopowe"
561,"Badania endoskopowe"
562,"Badanie wzroku"
563,"Badanie ucha"
564,"Badanie serca"
565,"Badanie wzroku"
566,"Badania obrazowe"
567,"Badanie krwi"
568,"Badania obrazowe"
569,"Badanie krwi"
570,"Badanie wzroku"
571,"Badania czynnosciowe"
572,"Badanie ucha"
573,"Badania endoskopowe"
574,"Badania obrazowe"
575,"Badania czynnosciowe"
576,"Badania endoskopowe"
577,"Badanie wzroku"
578,"Badanie skory"
579,"Badanie wzroku"
580,"Badanie serca"
581,"Badanie moczu"
582,"Badanie moczu"
583,"Badania endoskopowe"
584,"Badanie skory"
585,"Badanie skory"
586,"Badanie wzroku"
587,"Badanie skory"
588,"Badanie ucha"
589,"Badania endoskopowe"
590,"Badania czynnosciowe"
591,"Badanie ucha"
592,"Badanie moczu"
593,"Badanie ucha"
594,"Badania czynnosciowe"
595,"Badania czynnosciowe"
596,"Badanie ucha"
597,"Badania czynnosciowe"
598,"Badanie serca"
599,"Badanie serca"
600,"Badanie serca"
601,"Badania endoskopowe"
602,"Badanie moczu"
603,"Badanie krwi"
604,"Badania obrazowe"
605,"Badania czynnosciowe"
606,"Badania endoskopowe"
607,"Badanie krwi"
608,"Badanie moczu"
609,"Badanie skory"
610,"Badanie skory"
611,"Badania czynnosciowe"
612,"Badania czynnosciowe"
613,"Badanie ucha"
614,"Badanie wzroku"
615,"Badanie ucha"
616,"Badanie skory"
617,"Badanie ucha"
618,"Badanie skory"
619,"Badania czynnosciowe"
620,"Badanie krwi"
621,"Badania obrazowe"
622,"Badanie serca"
623,"Badania obrazowe"
624,"Badanie serca"
625,"Badania czynnosciowe"
626,"Badanie ucha"
627,"Badanie wzroku"
628,"Badanie skory"
629,"Badanie moczu"
630,"Badanie ucha"
631,"Badania czynnosciowe"
632,"Badanie wzroku"
633,"Badania czynnosciowe"
634,"Badanie wzroku"
635,"Badanie skory"
636,"Badanie wzroku"
637,"Badania endoskopowe"
638,"Badanie serca"
639,"Badanie moczu"
640,"Badanie serca"
641,"Badanie ucha"
642,"Badanie ucha"
643,"Badania czynnosciowe"
644,"Badanie serca"
645,"Badanie ucha"
646,"Badanie ucha"
647,"Badanie ucha"
648,"Badanie ucha"
649,"Badania obrazowe"
650,"Badanie moczu"
651,"Badanie serca"
652,"Badania endoskopowe"
653,"Badanie ucha"
654,"Badanie skory"
655,"Badanie ucha"
656,"Badania czynnosciowe"
