"ID_LEKI","NAZWA"
570,"DicloDuo"
571,"Nolicin"
572,"Altacet"
573,"Nolicin"
574,"Avamys"
575,"Epiduo"
576,"Aprofen"
577,"Mucofluid"
578,"Nolicin"
579,"Tritace"
580,"Tritace"
581,"DicloDuo"
582,"Aprofen"
583,"Prostaforce"
584,"Buprenorfina"
585,"DicloDuo"
586,"Roswera"
587,"Mucofluid"
588,"Ecomer"
589,"Acidolac"
590,"Ecomer"
591,"Prostaforce"
592,"Polopiryna"
593,"Espumisan"
594,"DicloDuo"
595,"Prostaforce"
596,"Acatar Zatoki"
597,"Buprenorfina"
598,"Aprofen"
599,"Tritace"
600,"Altacet"
601,"Aminodral"
602,"Roswera"
603,"Avamys"
604,"Espumisan"
605,"Altacet"
606,"Mucofluid"
607,"Diprophos"
608,"Nolicin"
609,"Algomed"
610,"Prostaforce"
611,"Tarproxen"
612,"Espumisan"
613,"Buprenorfina"
614,"Roswera"
615,"Berodual"
616,"Acatar Zatoki"
617,"Prostaforce"
618,"Prostaforce"
619,"Otrivin"
620,"Tritace"
621,"Avamys"
622,"Apap Extra"
623,"Otrivin"
624,"Apap Extra"
625,"DicloDuo"
626,"Roswera"
627,"Apap Extra"
628,"Mucofluid"
629,"Tarproxen"
630,"Polopiryna"
631,"Epiduo"
632,"Apap Extra"
633,"Roswera"
634,"Polopiryna"
635,"Apap Extra"
636,"Nolicin"
637,"Aminodral"
638,"Apap Extra"
639,"Algomed"
640,"Ecomer"
641,"Roswera"
642,"Nolicin"
643,"Acatar Zatoki"
644,"Apap Extra"
645,"Epiduo"
646,"Acidolac"
647,"Buderhin"
648,"Prostaforce"
649,"Apap Extra"
650,"DicloDuo"
651,"Espumisan"
652,"Apap Extra"
653,"Aminodral"
654,"Aminodral"
655,"Algomed"
656,"Apap Extra"
657,"Buderhin"
658,"Prostaforce"
659,"Aminodral"
660,"Algomed"
661,"Altacet"
662,"Aprofen"
663,"DicloDuo"
664,"Espumisan"
665,"Aprofen"
666,"Acidolac"
667,"DicloDuo"
668,"Ecomer"
669,"Altacet"
670,"Roswera"
671,"Tritace"
672,"DicloDuo"
673,"Espumisan"
674,"Tarproxen"
675,"Acidolac"
676,"Prostaforce"
677,"Mucofluid"
678,"Algomed"
679,"Berodual"
680,"Epiduo"
681,"Nolicin"
682,"Espumisan"
683,"Roswera"
684,"Acidolac"
685,"Polopiryna"
686,"Apap Extra"
687,"Apap Extra"
688,"Aminodral"
689,"Acatar Zatoki"
690,"Diprophos"
691,"Epiduo"
692,"Algomed"
693,"Roswera"
694,"Avamys"
695,"Aprofen"
696,"Altacet"
697,"Buderhin"
698,"Roswera"
699,"Aprofen"
700,"Buderhin"
701,"Roswera"
702,"Roswera"
703,"Acidolac"
704,"Buprenorfina"
705,"Acatar Zatoki"
706,"Tarproxen"
707,"Nolicin"
708,"Algomed"
709,"Nolicin"
710,"Apap Extra"
711,"Apap Extra"
712,"DicloDuo"
713,"Avamys"
714,"Nolicin"
715,"Ecomer"
716,"Aprofen"
717,"Prostaforce"
718,"Altacet"
719,"Roswera"
720,"Avamys"
721,"DicloDuo"
722,"Polopiryna"
723,"DicloDuo"
724,"Mucofluid"
725,"Nolicin"
726,"Polopiryna"
727,"Roswera"
728,"Apap Extra"
729,"Aminodral"
730,"Avamys"
731,"Tarproxen"
732,"Buderhin"
733,"Apap Extra"
734,"Polopiryna"
735,"Buprenorfina"
736,"Apap Extra"
737,"Prostaforce"
738,"Diprophos"
739,"Apap Extra"
740,"Nolicin"
741,"Ecomer"
742,"Ecomer"
743,"Avamys"
744,"Altacet"
745,"DicloDuo"
746,"Tarproxen"
747,"Acidolac"
748,"Nolicin"
749,"Avamys"
750,"Epiduo"
751,"Acatar Zatoki"
752,"Tarproxen"
753,"Polopiryna"
754,"Otrivin"
755,"Epiduo"
756,"Ecomer"
757,"Epiduo"
758,"Mucofluid"
759,"Roswera"
760,"Algomed"
761,"Aminodral"
762,"Acidolac"
763,"Prostaforce"
764,"Prostaforce"
765,"Otrivin"
766,"Aminodral"
767,"Berodual"
768,"Polopiryna"
769,"Acatar Zatoki"
770,"Otrivin"
771,"Acatar Zatoki"
772,"Apap Extra"
773,"Aprofen"
774,"Otrivin"
775,"Altacet"
776,"Acatar Zatoki"
777,"Buderhin"
778,"Acidolac"
779,"Ecomer"
780,"Aminodral"
781,"Diprophos"
782,"Diprophos"
783,"Mucofluid"
784,"DicloDuo"
785,"Apap Extra"
786,"Ecomer"
787,"Altacet"
788,"Espumisan"
789,"Acidolac"
790,"Aminodral"
791,"Berodual"
792,"Polopiryna"
793,"Polopiryna"
794,"DicloDuo"
795,"Diprophos"
796,"Acidolac"
797,"DicloDuo"
798,"DicloDuo"
799,"Diprophos"
800,"Espumisan"
801,"Berodual"
802,"Tarproxen"
803,"Avamys"
804,"Buderhin"
805,"Otrivin"
806,"Ecomer"
807,"Acidolac"
808,"Espumisan"
809,"DicloDuo"
810,"Aminodral"
811,"Acatar Zatoki"
812,"Epiduo"
813,"Aminodral"
814,"Apap Extra"
815,"Aprofen"
816,"Aprofen"
817,"Nolicin"
818,"Polopiryna"
819,"Aprofen"
820,"Nolicin"
821,"Aminodral"
822,"Altacet"
823,"Aminodral"
824,"Tritace"
825,"Aminodral"
826,"Berodual"
827,"Tarproxen"
828,"Algomed"
829,"Buderhin"
830,"Buprenorfina"
831,"Algomed"
832,"Apap Extra"
833,"DicloDuo"
834,"Algomed"
835,"Roswera"
836,"Altacet"
837,"Espumisan"
838,"Epiduo"
839,"Prostaforce"
840,"Acatar Zatoki"
841,"DicloDuo"
842,"Ecomer"
843,"Diprophos"
844,"Prostaforce"
845,"Otrivin"
846,"Algomed"
847,"Otrivin"
848,"Tritace"
849,"Apap Extra"
850,"Otrivin"
851,"Prostaforce"
852,"Altacet"
853,"Espumisan"
854,"Prostaforce"
855,"Diprophos"
856,"Altacet"
857,"Avamys"
858,"Berodual"
859,"Tritace"
860,"Roswera"
861,"Diprophos"
862,"DicloDuo"
863,"Polopiryna"
864,"Apap Extra"
865,"Polopiryna"
866,"Diprophos"
867,"Roswera"
868,"Avamys"
869,"Avamys"
870,"Tarproxen"
871,"Roswera"
872,"Tritace"
873,"Tritace"
874,"Nolicin"
875,"Apap Extra"
876,"Aprofen"
877,"Aprofen"
878,"Mucofluid"
879,"Acidolac"
880,"Apap Extra"
881,"Nolicin"
882,"Aprofen"
883,"Nolicin"
884,"Roswera"
885,"Algomed"
886,"Algomed"
887,"Roswera"
888,"Polopiryna"
889,"Diprophos"
890,"Otrivin"
891,"Berodual"
892,"Buprenorfina"
893,"Buprenorfina"
894,"Aminodral"
895,"Algomed"
896,"Tritace"
897,"Acatar Zatoki"
898,"Prostaforce"
899,"Aprofen"
900,"Altacet"
901,"Algomed"
902,"Algomed"
903,"Aprofen"
904,"Berodual"
905,"Altacet"
906,"Nolicin"
907,"Diprophos"
908,"Buprenorfina"
909,"Tritace"
910,"DicloDuo"
911,"Espumisan"
912,"Otrivin"
913,"Aminodral"
914,"Otrivin"
915,"Apap Extra"
916,"Mucofluid"
917,"Tritace"
918,"Tritace"
919,"DicloDuo"
920,"Tritace"
921,"Acidolac"
922,"Acatar Zatoki"
923,"Acatar Zatoki"
924,"Roswera"
925,"Roswera"
926,"Berodual"
927,"Aminodral"
928,"Prostaforce"
929,"Apap Extra"
930,"Buderhin"
931,"Acidolac"
932,"Mucofluid"
933,"DicloDuo"
934,"Berodual"
935,"Buderhin"
936,"Mucofluid"
937,"Espumisan"
938,"Acidolac"
939,"Aprofen"
940,"Prostaforce"
941,"Polopiryna"
942,"Nolicin"
943,"Mucofluid"
944,"Avamys"
945,"Tritace"
946,"Acidolac"
947,"Epiduo"
948,"Espumisan"
949,"Espumisan"
950,"Ecomer"
951,"Buprenorfina"
952,"Diprophos"
953,"Nolicin"
954,"Berodual"
955,"Acidolac"
956,"Diprophos"
957,"Otrivin"
958,"Algomed"
959,"Avamys"
960,"Tarproxen"
961,"Algomed"
962,"Espumisan"
963,"Acatar Zatoki"
964,"DicloDuo"
965,"Diprophos"
966,"Prostaforce"
967,"Acidolac"
968,"Prostaforce"
969,"Prostaforce"
970,"DicloDuo"
971,"Buprenorfina"
972,"Nolicin"
973,"Berodual"
974,"Avamys"
975,"Altacet"
976,"Espumisan"
977,"Polopiryna"
978,"Berodual"
979,"Buprenorfina"
980,"Avamys"
981,"Roswera"
982,"Prostaforce"
983,"Prostaforce"
984,"Polopiryna"
985,"Ecomer"
986,"Algomed"
987,"Nolicin"
988,"Ecomer"
989,"Buderhin"
990,"Polopiryna"
991,"Avamys"
992,"Buderhin"
